pair_id,title_left,title_right,predicted_prob,error_category
56115346#50979472,5 Pack: UniFi AC Outdoor AP Mesh Pro Dual-omni ant no PoE ad,UBIQUITI UNIFI UAP-AC-PRO-5 (5-Pack),0.957,Model/Catalog Number Confusion
35792541#34298415,WD My Passport WDBYNN0010BRD-WESN 1 TB Portable Hard Drive -,WD HDD 1TB My Passport Black,0.9434,Model/Catalog Number Confusion
31785582#5263379,TP-LINK EAP225-Outdoor Omada AC1200 Wireless Access Point u2,ACCESS POINT TP-LINK WIRELESS N 300MBPS EAP115,0.9432,Model/Catalog Number Confusion
58597448#22308275,Blaze 40-inch 5-Burner LTE Gas Grill With Rear Burner and Bu,"Blaze 32"" 4 Burner Grill",0.9389,Model/Catalog Number Confusion
45125692#84771715,RAM-201U-B RAM Mounts Short Double Socket Arm for C Size 1.5,Length double socket arm- RAM,0.932,Missing Manufacturer/Brand
36061219#31785582,TP-Link Omada EAP225-Outdoor,TP-LINK EAP225-Outdoor Omada AC1200 Wireless Access Point u2,0.9186,Model/Catalog Number Confusion
45125692#11113121,RAM-201U-B RAM Mounts Short Double Socket Arm for C Size 1.5,RAM® Double Socket Arm C Size,0.8994,Missing Manufacturer/Brand
75962303#50368196,"Zebra C Series Black Monochrome Ribbon For P3xx, P4xx, P5xx ",Zebra C Series Black Ribbon 800015-301,0.8994,Model/Catalog Number Confusion
43148862#62460477,VGA GIGABYTE GEFORCE GTX 1650 D6 OC 4GDDR6 1HDMI2.0 1DVI-D 1,Gigabyte GeForce GTX 1650 SUPER OC 4G GDDR6,0.8983,Model/Catalog Number Confusion
57812104#74270481,Relógio Swiss Military Hanowa06-5161.2.04.007 Flagship,Swiss Military Hanowa06-5161.2.04.003 Flagship Uhr,0.888,Model/Catalog Number Confusion
93018058#29412015,Swiss Military Hanowa 06-6278.04.001.07 Navalus Damen 36mm 1,Swiss Military Hanowa Flagship Horloge,0.8851,Missing Manufacturer/Brand
40229294#92333161,T7 Touch Portable SSD - 1TB Silver,"Samsung T7 Touch Portable SSD 1TB,USB3.2, Type-C, R/W(Max) 1",0.8785,Model/Catalog Number Confusion
45366053#34146981,GARMIN FENIX 5S Sapphire - Black with Black Band,Garmin fenix 5S Plus - Silver with black band,0.8728,Model/Catalog Number Confusion
53937881#34961217,Gigabyte Radeon RX 5500 XT OC 4G,"Gigabyte Radeon RX 5500 XT OC 8GB GDDR6 Graphics Card, GPU U",0.8702,Model/Catalog Number Confusion
28403450#58023892,EPSON - Ink Cart/XL Yellow WF-8xxx,"Epson Tower of Pisa 79XL (Prentar: 2,000 síður) XL DURABrite",0.8671,Model/Catalog Number Confusion
41616522#5263379,TP-Link EAP225-Outdoor Wireless-AC1200 MU-MIMO Gigabit Indoo,ACCESS POINT TP-LINK WIRELESS N 300MBPS EAP115,0.8635,Model/Catalog Number Confusion
41697042#75566537,"Cooler Master MasterBox TD500 Mesh ARGB Black ATX Case, Temp","Corsair 110R Gaming Case with Tempered Glass Window, ATX, No",0.8609,Model/Catalog Number Confusion
61288533#44005128,Audio Technica ATH-M50X Monitor Headphones with Disconnectab,Audio Technica ATH-M40 XAuricular,0.8594,Model/Catalog Number Confusion
64197093#45641488,"APC Smart-UPS RT RM battery pack, Extended-Run, 192V bus vol",APC Smart-UPS SRT 3000VA RM 230V,0.8589,Model/Catalog Number Confusion
51893803#25537521,HP 900GB 6G SAS 10K rpm SFF (2.5-inch) Dual Port Enterprise ,652589-B21 HP 900GB 10K RPM 6G SAS SFF Form Factor 2.5 Inche,0.8588,Model/Catalog Number Confusion
